Accession,Release_Date,Length,Geo_Location,USA,Isolation_Source,Collection_Date
MT831699,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-22
MT831700,2020-08-04T00:00:00Z,29868,USA: Washington,WA,,2020-06-19
MT831701,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-17
MT831702,2020-08-04T00:00:00Z,29872,"USA: Washington,Yakima County",WA,,2020-06-13
MT831703,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-18
MT831704,2020-08-04T00:00:00Z,29846,"USA: Washington,King County",WA,,2020-06-16
MT831705,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-12
MT831706,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-15
MT831707,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-06-15
MT831708,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-11
MT831709,2020-08-04T00:00:00Z,29862,"USA: Washington,Yakima County",WA,,2020-06-16
MT831710,2020-08-04T00:00:00Z,29864,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831711,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-15
MT831712,2020-08-04T00:00:00Z,29855,"USA: Washington,Yakima County",WA,,2020-06-12
MT831713,2020-08-04T00:00:00Z,29864,"USA: Washington,Yakima County",WA,,2020-06-16
MT831714,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-19
MT831715,2020-08-04T00:00:00Z,29830,"USA: Washington,Yakima County",WA,,2020-06-11
MT831716,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-17
MT831718,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-15
MT831719,2020-08-04T00:00:00Z,29864,"USA: Washington,Yakima County",WA,,2020-06-15
MT831720,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-17
MT831721,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-15
MT831722,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-11
MT831723,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-18
MT831724,2020-08-04T00:00:00Z,29873,"USA: Washington,Yakima County",WA,,2020-06-12
MT831725,2020-08-04T00:00:00Z,29857,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831726,2020-08-04T00:00:00Z,29856,"USA: Washington,King County",WA,,2020-06-16
MT831727,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-18
MT831728,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-15
MT831729,2020-08-04T00:00:00Z,29848,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831730,2020-08-04T00:00:00Z,29861,"USA: Washington,Yakima County",WA,,2020-06-15
MT831731,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-06-19
MT831732,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-22
MT831733,2020-08-04T00:00:00Z,29878,"USA: Washington,Yakima County",WA,,2020-06-18
MT831734,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-15
MT831735,2020-08-04T00:00:00Z,29853,"USA: Washington,Yakima County",WA,,2020-06-15
MT831736,2020-08-04T00:00:00Z,29871,"USA: Washington,Yakima County",WA,,2020-06-14
MT831737,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-18
MT831738,2020-08-04T00:00:00Z,29847,"USA: Washington,Yakima County",WA,,2020-06-11
MT831739,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-06-18
MT831740,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-12
MT831741,2020-08-04T00:00:00Z,29865,"USA: Washington,Yakima County",WA,,2020-06-11
MT831742,2020-08-04T00:00:00Z,29862,"USA: Washington,Yakima County",WA,,2020-06-15
MT831743,2020-08-04T00:00:00Z,29871,"USA: Washington,Yakima County",WA,,2020-06-11
MT831744,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-06-16
MT831745,2020-08-04T00:00:00Z,29856,"USA: Washington,Yakima County",WA,,2020-06-15
MT831746,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-11
MT831747,2020-08-04T00:00:00Z,29870,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831748,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-16
MT831749,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-20
MT831750,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-16
MT831751,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-11
MT831752,2020-08-04T00:00:00Z,29882,"USA: Washington,Yakima County",WA,,2020-06-21
MT831753,2020-08-04T00:00:00Z,29857,"USA: Washington,Snohomish County",WA,,2020-06-12
MT831754,2020-08-04T00:00:00Z,29855,"USA: Washington,Yakima County",WA,,2020-06-19
MT831755,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-22
MT831756,2020-08-04T00:00:00Z,29849,"USA: Washington,Yakima County",WA,,2020-06-11
MT831757,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-17
MT831758,2020-08-04T00:00:00Z,29838,"USA: Washington,Yakima County",WA,,2020-06-11
MT831759,2020-08-04T00:00:00Z,29636,"USA: Washington,Yakima County",WA,,2020-06-16
MT831760,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-22
MT831761,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-15
MT831762,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-13
MT831763,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-13
MT831764,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-22
MT831765,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-21
MT831766,2020-08-04T00:00:00Z,29868,"USA: Washington,Kittitas County",WA,,2020-06-13
MT831767,2020-08-04T00:00:00Z,29874,"USA: Washington,Yakima County",WA,,2020-06-18
MT831768,2020-08-04T00:00:00Z,29865,"USA: Washington,Yakima County",WA,,2020-06-16
MT831769,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-12
MT831770,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-22
MT831771,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-20
MT831772,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-23
MT831773,2020-08-04T00:00:00Z,29874,"USA: Washington,Yakima County",WA,,2020-06-12
MT831774,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-10
MT831775,2020-08-04T00:00:00Z,29849,"USA: Washington,King County",WA,,2020-06-16
MT831776,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-10
MT831777,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-13
MT831778,2020-08-04T00:00:00Z,29877,"USA: Washington,Yakima County",WA,,2020-06-13
MT831779,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-16
MT831780,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-19
MT831781,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-18
MT831782,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-12
MT831783,2020-08-04T00:00:00Z,29867,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831784,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-22
MT831785,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-15
MT831786,2020-08-04T00:00:00Z,29859,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831787,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-19
MT831788,2020-08-04T00:00:00Z,29871,"USA: Washington,Yakima County",WA,,2020-06-17
MT831789,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-15
MT831790,2020-08-04T00:00:00Z,29853,"USA: Washington,Yakima County",WA,,2020-06-15
MT831791,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-22
MT831792,2020-08-04T00:00:00Z,29859,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831793,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-11
MT831794,2020-08-04T00:00:00Z,29867,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831795,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-12
MT831796,2020-08-04T00:00:00Z,29869,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831797,2020-08-04T00:00:00Z,29799,"USA: Washington,Yakima County",WA,,2020-06-18
MT831798,2020-08-04T00:00:00Z,29853,"USA: Washington,Yakima County",WA,,2020-06-18
MT831799,2020-08-04T00:00:00Z,29864,"USA: Washington,Yakima County",WA,,2020-06-18
MT831800,2020-08-04T00:00:00Z,29884,"USA: Washington,Pierce County",WA,,2020-06-19
MT831801,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-17
MT831802,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-06-21
MT831803,2020-08-04T00:00:00Z,29791,"USA: Washington,Yakima County",WA,,2020-06-15
MT831804,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-13
MT831805,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-15
MT831806,2020-08-04T00:00:00Z,29867,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831807,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-15
MT831808,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-14
MT831809,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-10
MT831810,2020-08-04T00:00:00Z,29859,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831811,2020-08-04T00:00:00Z,29856,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831812,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-17
MT831813,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-06-10
MT831814,2020-08-04T00:00:00Z,29836,"USA: Washington,Yakima County",WA,,2020-06-15
MT831815,2020-08-04T00:00:00Z,29855,"USA: Washington,Yakima County",WA,,2020-06-11
MT831816,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-16
MT831817,2020-08-04T00:00:00Z,29856,"USA: Washington,Yakima County",WA,,2020-06-22
MT831818,2020-08-04T00:00:00Z,29859,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831819,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-11
MT831820,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-18
MT831821,2020-08-04T00:00:00Z,29855,"USA: Washington,Yakima County",WA,,2020-06-16
MT831822,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-22
MT831823,2020-08-04T00:00:00Z,29861,"USA: Washington,Yakima County",WA,,2020-06-11
MT831824,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-19
MT831825,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-06-12
MT831826,2020-08-04T00:00:00Z,29866,"USA: Washington,Snohomish County",WA,,2020-06-12
MT831827,2020-08-04T00:00:00Z,29839,"USA: Washington,King County",WA,,2020-06-16
MT831828,2020-08-04T00:00:00Z,29868,"USA: Washington,Snohomish County",WA,,2020-06-11
MT831829,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-13
MT831830,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-16
MT831831,2020-08-04T00:00:00Z,29849,"USA: Washington,Yakima County",WA,,2020-06-18
MT831832,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-11
MT831833,2020-08-04T00:00:00Z,29873,"USA: Washington,Yakima County",WA,,2020-06-14
MT831834,2020-08-04T00:00:00Z,29863,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831835,2020-08-04T00:00:00Z,29863,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831836,2020-08-04T00:00:00Z,29865,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831837,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-11
MT831838,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-11
MT831839,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-06-18
MT831840,2020-08-04T00:00:00Z,29882,"USA: Washington,Benton County",WA,,2020-06-17
MT831841,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-16
MT831842,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-15
MT831843,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-16
MT831844,2020-08-04T00:00:00Z,29845,"USA: Washington,Yakima County",WA,,2020-06-11
MT831845,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-06-15
MT831846,2020-08-04T00:00:00Z,29857,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831847,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-17
MT831848,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-16
MT831849,2020-08-04T00:00:00Z,29838,"USA: Washington,Yakima County",WA,,2020-06-21
MT831850,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-18
MT831851,2020-08-04T00:00:00Z,29868,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831852,2020-08-04T00:00:00Z,29874,"USA: Washington,Yakima County",WA,,2020-06-18
MT831853,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-22
MT831854,2020-08-04T00:00:00Z,29860,"USA: Washington,Snohomish County",WA,,2020-06-20
MT831855,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-18
MT831856,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-12
MT831857,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-06-17
MT831858,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-17
MT831859,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-18
MT831860,2020-08-04T00:00:00Z,29814,"USA: Washington,Yakima County",WA,,2020-06-13
MT831861,2020-08-04T00:00:00Z,29853,"USA: Washington,Yakima County",WA,,2020-06-10
MT831862,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-17
MT831863,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-16
MT831864,2020-08-04T00:00:00Z,29810,"USA: Washington,Yakima County",WA,,2020-06-15
MT831865,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-06-15
MT831866,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-06-13
MT831867,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-17
MT831868,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-06-16
MT831869,2020-08-04T00:00:00Z,29873,"USA: Washington,Yakima County",WA,,2020-06-13
MT831870,2020-08-04T00:00:00Z,29835,"USA: Washington,Yakima County",WA,,2020-06-21
MT831871,2020-08-04T00:00:00Z,29747,"USA: Washington,Yakima County",WA,,2020-06-11
MT831872,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-18
MT831873,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-20
MT831874,2020-08-04T00:00:00Z,29854,"USA: Washington,Yakima County",WA,,2020-06-11
MT831875,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-18
MT831876,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-06-14
MT831877,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-15
MT831878,2020-08-04T00:00:00Z,29843,"USA: Washington,Pierce County",WA,,2020-06-23
MT831879,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-18
MT831880,2020-08-04T00:00:00Z,29828,"USA: Washington,Cowlitz County",WA,,2020-06-19
MT831881,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-15
MT831882,2020-08-04T00:00:00Z,29865,"USA: Washington,Benton County",WA,,2020-06-17
MT831883,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-13
MT831884,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-16
MT831885,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-16
MT831886,2020-08-04T00:00:00Z,29858,"USA: Washington,Yakima County",WA,,2020-06-14
MT831887,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-16
MT831888,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-17
MT831889,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-16
MT831890,2020-08-04T00:00:00Z,29877,"USA: Washington,Yakima County",WA,,2020-06-16
MT831891,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-16
MT831892,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-15
MT831893,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-06-18
MT831894,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-17
MT831895,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-16
MT831896,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-06-16
MT831897,2020-08-04T00:00:00Z,29865,"USA: Washington,Yakima County",WA,,2020-06-15
MT831898,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-13
MT831899,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-14
MT831900,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-06-12
MT833957,2020-08-04T00:00:00Z,29846,"USA: Washington,Yakima County",WA,,2020-05-30
MT833958,2020-08-04T00:00:00Z,29842,"USA: Washington,Yakima County",WA,,2020-05-27
MT833959,2020-08-04T00:00:00Z,29849,"USA: Washington,Yakima County",WA,,2020-06-02
MT833960,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-05-26
MT833961,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-27
MT833962,2020-08-04T00:00:00Z,29877,"USA: Washington,Yakima County",WA,,2020-05-26
MT833963,2020-08-04T00:00:00Z,29652,"USA: Washington,Yakima County",WA,,2020-06-01
MT833964,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-05-26
MT833965,2020-08-04T00:00:00Z,29855,"USA: Washington,Whatcom County",WA,,2020-05-26
MT833966,2020-08-04T00:00:00Z,29877,"USA: Washington,Yakima County",WA,,2020-05-29
MT833967,2020-08-04T00:00:00Z,29877,"USA: Washington,Yakima County",WA,,2020-05-28
MT833968,2020-08-04T00:00:00Z,29865,"USA: Washington,Yakima County",WA,,2020-05-29
MT833969,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-05-27
MT833970,2020-08-04T00:00:00Z,29861,"USA: Washington,Yakima County",WA,,2020-05-27
MT833971,2020-08-04T00:00:00Z,29777,"USA: Washington,Yakima County",WA,,2020-05-29
MT833972,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-05-31
MT833973,2020-08-04T00:00:00Z,29846,"USA: Washington,Yakima County",WA,,2020-06-01
MT833974,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-22
MT833975,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-02
MT833976,2020-08-04T00:00:00Z,29881,"USA: Washington,Yakima County",WA,,2020-05-29
MT833977,2020-08-04T00:00:00Z,29839,"USA: Washington,Yakima County",WA,,2020-05-27
MT833978,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-26
MT833979,2020-08-04T00:00:00Z,29880,"USA: Washington,Yakima County",WA,,2020-05-30
MT833980,2020-08-04T00:00:00Z,29896,"USA: Washington,Yakima County",WA,,2020-05-24
MT833981,2020-08-04T00:00:00Z,29872,"USA: Washington,Yakima County",WA,,2020-05-26
MT833982,2020-08-04T00:00:00Z,29876,"USA: Washington,Benton County",WA,,2020-05-27
MT833983,2020-08-04T00:00:00Z,29842,"USA: Washington,Yakima County",WA,,2020-06-03
MT833984,2020-08-04T00:00:00Z,29833,"USA: Washington,Spokane County",WA,,2020-05-26
MT833985,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-05-26
MT833986,2020-08-04T00:00:00Z,29847,"USA: Washington,Yakima County",WA,,2020-05-26
MT833987,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-06-02
MT833988,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-01
MT833989,2020-08-04T00:00:00Z,29880,"USA: Washington,Yakima County",WA,,2020-05-30
MT833990,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-05-29
MT833991,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-06-01
MT833992,2020-08-04T00:00:00Z,29875,"USA: Washington,Yakima County",WA,,2020-05-26
MT833993,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-27
MT833994,2020-08-04T00:00:00Z,29880,"USA: Washington,Yakima County",WA,,2020-06-01
MT833995,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-06-02
MT833996,2020-08-04T00:00:00Z,29849,"USA: Washington,Yakima County",WA,,2020-06-01
MT833997,2020-08-04T00:00:00Z,29867,"USA: Washington,Yakima County",WA,,2020-05-21
MT833998,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-02
MT833999,2020-08-04T00:00:00Z,29875,"USA: Washington,Yakima County",WA,,2020-05-26
MT834000,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-28
MT834001,2020-08-04T00:00:00Z,29856,"USA: Washington,Yakima County",WA,,2020-05-27
MT834002,2020-08-04T00:00:00Z,29866,"USA: Washington,Spokane County",WA,,2020-06-03
MT834003,2020-08-04T00:00:00Z,29872,"USA: Washington,Yakima County",WA,,2020-05-29
MT834004,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-27
MT834005,2020-08-04T00:00:00Z,29860,"USA: Washington,Yakima County",WA,,2020-05-26
MT834006,2020-08-04T00:00:00Z,29850,"USA: Washington,Yakima County",WA,,2020-05-27
MT834007,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-05-26
MT834008,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-05-26
MT834009,2020-08-04T00:00:00Z,29878,"USA: Washington,Yakima County",WA,,2020-06-01
MT834010,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-01
MT834011,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-27
MT834012,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-21
MT834013,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-01
MT834014,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-30
MT834015,2020-08-04T00:00:00Z,29879,"USA: Washington,Yakima County",WA,,2020-05-28
MT834016,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-06-02
MT834017,2020-08-04T00:00:00Z,29878,"USA: Washington,Yakima County",WA,,2020-05-28
MT834018,2020-08-04T00:00:00Z,29856,"USA: Washington,Yakima County",WA,,2020-06-01
MT834019,2020-08-04T00:00:00Z,29859,"USA: Washington,Yakima County",WA,,2020-05-26
MT834020,2020-08-04T00:00:00Z,29856,"USA: Washington,Yakima County",WA,,2020-05-26
MT834021,2020-08-04T00:00:00Z,29864,"USA: Washington,Yakima County",WA,,2020-05-29
MT834022,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-01
MT834023,2020-08-04T00:00:00Z,29877,"USA: Washington,Yakima County",WA,,2020-05-28
MT834024,2020-08-04T00:00:00Z,29869,"USA: Washington,Yakima County",WA,,2020-05-27
MT834025,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-29
MT834026,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-27
MT834027,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-01
MT834028,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-29
MT834029,2020-08-04T00:00:00Z,29872,"USA: Washington,Spokane County",WA,,2020-06-02
MT834030,2020-08-04T00:00:00Z,29878,"USA: Washington,Yakima County",WA,,2020-05-26
MT834031,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-01
MT834032,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-26
MT834033,2020-08-04T00:00:00Z,29873,"USA: Washington,Yakima County",WA,,2020-05-29
MT834034,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-06-02
MT834035,2020-08-04T00:00:00Z,29880,"USA: Washington,Yakima County",WA,,2020-05-28
MT834036,2020-08-04T00:00:00Z,29870,"USA: Washington,Yakima County",WA,,2020-06-01
MT834037,2020-08-04T00:00:00Z,29877,"USA: Washington,Yakima County",WA,,2020-06-01
MT834038,2020-08-04T00:00:00Z,29867,"USA: Washington,Pierce County",WA,,2020-05-26
MT834039,2020-08-04T00:00:00Z,29868,"USA: Washington,Yakima County",WA,,2020-05-29
MT834040,2020-08-04T00:00:00Z,29863,"USA: Washington,Yakima County",WA,,2020-05-30
MT834041,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-05-26
MT834042,2020-08-04T00:00:00Z,29869,"USA: Washington,Spokane County",WA,,2020-06-02
MT834043,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-05-26
MT834044,2020-08-04T00:00:00Z,29857,"USA: Washington,Yakima County",WA,,2020-06-01
MT834045,2020-08-04T00:00:00Z,29882,"USA: Washington,Yakima County",WA,,2020-05-22
