Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/USA/WA-S1947/2020	EPI_ISL_497375	6/2/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.26	GR
hCoV-19/USA/WA-S1948/2020	EPI_ISL_497376	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1949/2020	EPI_ISL_497377	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1950/2020	EPI_ISL_497378	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.76	GR
hCoV-19/USA/WA-S1951/2020	EPI_ISL_497379	6/2/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S1952/2020	EPI_ISL_497380	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1953/2020	EPI_ISL_497381	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S1954/2020	EPI_ISL_497382	6/3/2020	North America / USA / Washington / Snohomish County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.21	GH
hCoV-19/USA/WA-S1955/2020	EPI_ISL_497383	6/2/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1956/2020	EPI_ISL_497384	6/2/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1957/2020	EPI_ISL_497385	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1958/2020	EPI_ISL_497386	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			A.1	S
hCoV-19/USA/WA-S1959/2020	EPI_ISL_497387	6/4/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S1960/2020	EPI_ISL_497388	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline	NS7a_E95stop results in 22.3% truncation of the protein sequence.	info	B.1.1.77	GR
hCoV-19/USA/WA-S1961/2020	EPI_ISL_497389	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1962/2020	EPI_ISL_497390	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1963/2020	EPI_ISL_497391	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S1964/2020	EPI_ISL_497392	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1965/2020	EPI_ISL_497393	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S1966/2020	EPI_ISL_497394	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1967/2020	EPI_ISL_497395	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1968/2020	EPI_ISL_497396	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1969/2020	EPI_ISL_497397	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S1970/2020	EPI_ISL_497398	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline	NS7a_E95stop results in 22.3% truncation of the protein sequence.	info	B.1.1.77	GR
hCoV-19/USA/WA-S1971/2020	EPI_ISL_497399	6/3/2020	North America / USA / Washington / Yakima County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-UW-MAYO57/2020	EPI_ISL_500512	3/27/2020	North America / USA / Washington	Human	Original			NextSeq 500				B.1.2	GH
hCoV-19/USA/WA-UW-10161/2020	EPI_ISL_501086	6/2/2020	North America / USA / Washington	Human	Original			NextSeq 500				B.1.169	GH
hCoV-19/USA/WA-UW-10212/2020	EPI_ISL_501087	5/31/2020	North America / USA / Washington	Human	Original			NextSeq 500		Gap of 2 nucleotides when compared to the reference sequence.	info	B.1.1.77	GR
hCoV-19/USA/WA-UW-10381/2020	EPI_ISL_501088	6/4/2020	North America / USA / Washington	Human	Original			NextSeq 500		Gap of 2 nucleotides when compared to the reference sequence.	info	B.1.1.77	GR
hCoV-19/USA/WA-UW-10420/2020	EPI_ISL_501089	6/5/2020	North America / USA / Washington	Human	Original			NextSeq 500				B.1.2	GH
hCoV-19/USA/WA-UW-10582/2020	EPI_ISL_501090	6/11/2020	North America / USA / Washington	Human	Original			NextSeq 500				B.1.169	GH
hCoV-19/USA/WA-UW-10613/2020	EPI_ISL_501091	6/12/2020	North America / USA / Washington	Human	Original			NextSeq 500				B.1.169	GH
hCoV-19/USA/WA-UW-11089/2020	EPI_ISL_501092	6/18/2020	North America / USA / Washington	Human	Original			NextSeq 500		Gap of 2 nucleotides when compared to the reference sequence.	info	B.1	GH
hCoV-19/USA/WA-UW-11142/2020	EPI_ISL_501093	6/20/2020	North America / USA / Washington	Human	Original			NextSeq 500		Gap of 2 nucleotides when compared to the reference sequence.	info	B.1.1.77	GR
hCoV-19/USA/WA-UW-11279/2020	EPI_ISL_501095	6/21/2020	North America / USA / Washington	Human	Original			NextSeq 500		Gap of 2 nucleotides when compared to the reference sequence.	info	B.1.1.77	GR
hCoV-19/USA/WA-UW-11293/2020	EPI_ISL_501096	6/21/2020	North America / USA / Washington	Human	Original			NextSeq 500				B.1.5	G
hCoV-19/USA/WA-UW-11300/2020	EPI_ISL_501097	6/20/2020	North America / USA / Washington	Human	Original			NextSeq 500				B.1.2	GH
hCoV-19/USA/WA-UW-11399/2020	EPI_ISL_501098	6/23/2020	North America / USA / Washington	Human	Original			NextSeq 500				B.1.1.32	GR
hCoV-19/USA/WA-UW-11455/2020	EPI_ISL_501099	6/22/2020	North America / USA / Washington	Human	Original			NextSeq 500		Gap of 2 nucleotides when compared to the reference sequence.	info	B.1.1.77	GR
hCoV-19/USA/WA-UW-334/2020	EPI_ISL_524438	3/24/2020	North America / USA / Washington	Human	Original			Illumina				A.1	S
hCoV-19/USA/WA-UW-350/2020	EPI_ISL_524439	3/24/2020	North America / USA / Washington	Human	Original			Illumina				A.1	S
hCoV-19/USA/WA-UW-351/2020	EPI_ISL_524440	3/24/2020	North America / USA / Washington	Human	Original			Illumina				B.1.3	GH
hCoV-19/USA/WA-UW-352/2020	EPI_ISL_524441	3/24/2020	North America / USA / Washington	Human	Original			Illumina				B.1	GH
hCoV-19/USA/WA-UW-354/2020	EPI_ISL_524442	3/24/2020	North America / USA / Washington	Human	Original			Illumina				A.1	S
hCoV-19/USA/WA-UW-380/2020	EPI_ISL_524443	3/24/2020	North America / USA / Washington	Human	Original			Illumina				B.1.2	GH
hCoV-19/USA/WA-S2710/2020	EPI_ISL_525700	6/18/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2711/2020	EPI_ISL_525701	6/20/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2712/2020	EPI_ISL_525702	6/25/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2713/2020	EPI_ISL_525703	6/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.21	GH
hCoV-19/USA/WA-S2714/2020	EPI_ISL_525704	6/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.2	GH
hCoV-19/USA/WA-S2715/2020	EPI_ISL_525705	6/29/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.2	GH
hCoV-19/USA/WA-S2716/2020	EPI_ISL_525706	6/26/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2718/2020	EPI_ISL_525708	7/2/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2719/2020	EPI_ISL_525709	7/2/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.21	GH
hCoV-19/USA/WA-S2720/2020	EPI_ISL_525710	7/2/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2721/2020	EPI_ISL_525711	7/2/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.21	GH
hCoV-19/USA/WA-S2722/2020	EPI_ISL_525712	7/3/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2723/2020	EPI_ISL_525713	7/3/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.5	G
hCoV-19/USA/WA-S2724/2020	EPI_ISL_525714	7/4/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2725/2020	EPI_ISL_525715	7/7/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2726/2020	EPI_ISL_525716	7/7/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2727/2020	EPI_ISL_525717	7/8/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2728/2020	EPI_ISL_525718	7/8/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2729/2020	EPI_ISL_525719	7/9/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2730/2020	EPI_ISL_525720	7/11/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2731/2020	EPI_ISL_525721	7/11/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2732/2020	EPI_ISL_525722	7/12/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.5	G
hCoV-19/USA/WA-S2733/2020	EPI_ISL_525723	7/12/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2734/2020	EPI_ISL_525724	7/13/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2735/2020	EPI_ISL_525725	7/14/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline	NS8_Q27stop results in 78.5% truncation of the protein sequence.	info	B.1.1.77	GR
hCoV-19/USA/WA-S2736/2020	EPI_ISL_525726	7/15/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.3	GH
hCoV-19/USA/WA-S2738/2020	EPI_ISL_525728	7/16/2020	North America / USA / Washington	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1.77	GR
hCoV-19/USA/WA-S2739/2020	EPI_ISL_525729	7/16/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	G
hCoV-19/USA/WA-S2740/2020	EPI_ISL_525730	7/16/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2741/2020	EPI_ISL_525731	7/16/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2742/2020	EPI_ISL_525732	7/16/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-S2743/2020	EPI_ISL_525733	7/17/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2744/2020	EPI_ISL_525734	7/17/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1.1	GR
hCoV-19/USA/WA-S2745/2020	EPI_ISL_525735	7/18/2020	North America / USA / Washington / King County	Human	Original			Illumina NextSeq	Seattle Flu Assembly Pipeline			B.1	GH
hCoV-19/USA/WA-UW-10394/2020	EPI_ISL_570300	6/5/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10396/2020	EPI_ISL_570301	6/5/2020	North America / USA / Washington	Human	Original			Illumina	custom	Gap of 3 nucleotides when compared to the reference sequence.	info	B.1.169	GH
hCoV-19/USA/WA-UW-10402/2020	EPI_ISL_570302	6/5/2020	North America / USA / Washington	Human	Original			Illumina	custom	Spike_K825stop results in 35.3% truncation of the protein sequence.	info	B.1.169	GH
hCoV-19/USA/WA-UW-10403/2020	EPI_ISL_570303	6/5/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10408/2020	EPI_ISL_570304	6/5/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10435/2020	EPI_ISL_570306	6/6/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10438/2020	EPI_ISL_570307	6/6/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	G
hCoV-19/USA/WA-UW-10439/2020	EPI_ISL_570308	6/5/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1	GR
hCoV-19/USA/WA-UW-10442/2020	EPI_ISL_570309	6/5/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1	GR
hCoV-19/USA/WA-UW-10447/2020	EPI_ISL_570310	6/5/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10449/2020	EPI_ISL_570311	6/7/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10453/2020	EPI_ISL_570312	6/6/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.77	GR
hCoV-19/USA/WA-UW-10455/2020	EPI_ISL_570313	6/6/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1	GR
hCoV-19/USA/WA-UW-10459/2020	EPI_ISL_570314	6/7/2020	North America / USA / Washington	Human	Original			Illumina	custom	Gap of 1 nucleotides when compared to the reference sequence.	info	B.1.1	GR
hCoV-19/USA/WA-UW-10464/2020	EPI_ISL_570315	6/6/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10465/2020	EPI_ISL_570316	6/7/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.55	GR
hCoV-19/USA/WA-UW-10471/2020	EPI_ISL_570317	6/7/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1	GR
hCoV-19/USA/WA-UW-10472/2020	EPI_ISL_570318	6/7/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.137	G
hCoV-19/USA/WA-UW-10473/2020	EPI_ISL_570319	6/7/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10479/2020	EPI_ISL_570320	6/8/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10485/2020	EPI_ISL_570321	6/8/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-10496/2020	EPI_ISL_570322	6/8/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.77	GR
hCoV-19/USA/WA-UW-10501/2020	EPI_ISL_570323	6/8/2020	North America / USA / Washington	Human	Original			Illumina	custom	Gap of 1 nucleotides when compared to the reference sequence.	info	B.1.1.77	GR
hCoV-19/USA/WA-UW-10508/2020	EPI_ISL_570324	6/8/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-10510/2020	EPI_ISL_570325	5/29/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10511/2020	EPI_ISL_570326	5/29/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10512/2020	EPI_ISL_570327	5/29/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10521/2020	EPI_ISL_570328	5/29/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10523/2020	EPI_ISL_570329	5/29/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-10530/2020	EPI_ISL_570330	5/29/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10531/2020	EPI_ISL_570331	6/8/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.77	GR
hCoV-19/USA/WA-UW-10533/2020	EPI_ISL_570332	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom	NSP3_R1449stop results in 25.6% truncation of the protein sequence.	info	B.1.169	GH
hCoV-19/USA/WA-UW-10552/2020	EPI_ISL_570333	6/11/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10588/2020	EPI_ISL_570334	6/11/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10599/2020	EPI_ISL_570335	6/13/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.77	GR
hCoV-19/USA/WA-UW-10609/2020	EPI_ISL_570336	6/12/2020	North America / USA / Washington	Human	Original			Illumina	custom			A.1	S
hCoV-19/USA/WA-UW-10612/2020	EPI_ISL_570337	6/12/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.5	G
hCoV-19/USA/WA-UW-10621/2020	EPI_ISL_570338	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10648/2020	EPI_ISL_570339	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10652/2020	EPI_ISL_570340	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-10653/2020	EPI_ISL_570341	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10654/2020	EPI_ISL_570342	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.77	GR
hCoV-19/USA/WA-UW-10655/2020	EPI_ISL_570343	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10658/2020	EPI_ISL_570344	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom	Gap of 3 nucleotides when compared to the reference sequence.	info	B.1.160	GH
hCoV-19/USA/WA-UW-10663/2020	EPI_ISL_570345	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.55	GR
hCoV-19/USA/WA-UW-10669/2020	EPI_ISL_570346	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.5.27	G
hCoV-19/USA/WA-UW-10685/2020	EPI_ISL_570348	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.77	GR
hCoV-19/USA/WA-UW-10687/2020	EPI_ISL_570349	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10688/2020	EPI_ISL_570350	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.21	GH
hCoV-19/USA/WA-UW-10691/2020	EPI_ISL_570351	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom	Gap of 3 nucleotides when compared to the reference sequence.	info	B.1.160	GH
hCoV-19/USA/WA-UW-10696/2020	EPI_ISL_570352	6/10/2020	North America / USA / Washington	Human	Original			Illumina	custom	NS8_Q18stop results in 86.0% truncation of the protein sequence.	info	B.1	GH
hCoV-19/USA/WA-UW-10697/2020	EPI_ISL_570353	6/9/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.77	GR
hCoV-19/USA/WA-UW-10698/2020	EPI_ISL_570354	6/10/2020	North America / USA / Washington	Human	Original			Illumina	custom	NS8_Q18stop results in 86.0% truncation of the protein sequence.	info	B.1.169	GH
hCoV-19/USA/WA-UW-10766/2020	EPI_ISL_570355	6/11/2020	North America / USA / Washington	Human	Original			Illumina	custom	NS8_Q18stop results in 86.0% truncation of the protein sequence.	info	B.1.169	GH
hCoV-19/USA/WA-UW-10769/2020	EPI_ISL_570356	6/11/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-10818/2020	EPI_ISL_570358	6/13/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.77	GR
hCoV-19/USA/WA-UW-10826/2020	EPI_ISL_570359	6/12/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10831/2020	EPI_ISL_570360	6/12/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-10834/2020	EPI_ISL_570361	6/12/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-10953/2020	EPI_ISL_570362	6/13/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.77	GR
hCoV-19/USA/WA-UW-11350/2020	EPI_ISL_570400	6/22/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1	GR
hCoV-19/USA/WA-UW-11391/2020	EPI_ISL_570401	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11394/2020	EPI_ISL_570402	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11401/2020	EPI_ISL_570403	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11425/2020	EPI_ISL_570404	6/22/2020	North America / USA / Washington	Human	Original			Illumina	custom	Gap of 3 nucleotides when compared to the reference sequence.	info	B.1.5	G
hCoV-19/USA/WA-UW-11436/2020	EPI_ISL_570405	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-11437/2020	EPI_ISL_570406	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom	NSP2_Q134stop results in 79.2% truncation of the protein sequence.	info	B.1.21	GH
hCoV-19/USA/WA-UW-11438/2020	EPI_ISL_570407	6/22/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1	GH
hCoV-19/USA/WA-UW-11442/2020	EPI_ISL_570408	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.169	GH
hCoV-19/USA/WA-UW-11443/2020	EPI_ISL_570409	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.5	G
hCoV-19/USA/WA-UW-11447/2020	EPI_ISL_570410	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11449/2020	EPI_ISL_570411	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11453/2020	EPI_ISL_570412	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11454/2020	EPI_ISL_570413	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11459/2020	EPI_ISL_570414	6/15/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1	GR
hCoV-19/USA/WA-UW-11472/2020	EPI_ISL_570415	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11478/2020	EPI_ISL_570416	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.5	G
hCoV-19/USA/WA-UW-11480/2020	EPI_ISL_570417	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11481/2020	EPI_ISL_570418	6/23/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11484/2020	EPI_ISL_570419	6/24/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.5	G
hCoV-19/USA/WA-UW-11487/2020	EPI_ISL_570420	6/24/2020	North America / USA / Washington	Human	Original			Illumina	custom	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.169	GH
hCoV-19/USA/WA-UW-11488/2020	EPI_ISL_570421	6/24/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
hCoV-19/USA/WA-UW-11489/2020	EPI_ISL_570422	6/24/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.1.32	GR
hCoV-19/USA/WA-UW-11499/2020	EPI_ISL_570423	6/24/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.5	G
hCoV-19/USA/WA-UW-11512/2020	EPI_ISL_570424	6/24/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.5	G
hCoV-19/USA/WA-UW-11518/2020	EPI_ISL_570426	6/19/2020	North America / USA / Washington	Human	Original			Illumina	custom			B.1.2	GH
